ip_address,email_address,billing_state,user_agent,billing_postal,phone_number,EVENT_TIMESTAMP,billing_address,EVENT_LABEL
156.51.234.133,fake_katie17@example.net,AR,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/5.1),32504,(555)399 - 2950,2022-04-30T22:57:26Z,54650 Jade Crescent Fake St.,fraud
91.148.168.231,fake_collinskevin@example.net,MD,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2016-11-15 11:13:40 Firefox/3.6.4,33267,(555)531 - 4168,2022-06-06T13:58:41Z,035 Sheila Fords Fake St.,fraud
139.252.248.28,fake_pamela02@example.net,AR,Opera/8.42.(X11; Linux i686; quz-PE) Presto/2.9.185 Version/11.00,34210,(555)920 - 8665,2022-05-05T02:36:11Z,65973 Lisa Shoal Fake St.,fraud
134.154.65.165,fake_michael85@example.com,GA,Opera/9.31.(Windows CE; csb-PL) Presto/2.9.166 Version/10.00,33855,(555)555 - 2661,2023-02-01T20:35:54Z,3250 Craig Groves Fake St.,fraud
168.86.17.141,fake_whawkins@example.org,NJ,Opera/9.57.(X11; Linux i686; ta-IN) Presto/2.9.172 Version/11.00,34140,(555)997 - 1670,2022-07-04T08:14:16Z,5915 Scott Divide Fake St.,fraud
223.81.122.16,fake_lfisher@example.com,AZ,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_9) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/47.0.844.0 Safari/534.2",32887,(555)970 - 4839,2022-10-28T01:33:52Z,36259 Kenneth Underpass Fake St.,fraud
60.208.110.32,fake_lukewarren@example.com,GA,Opera/9.28.(Windows NT 4.0; os-RU) Presto/2.9.176 Version/10.00,34651,(555)639 - 3209,2022-03-09T23:29:26Z,8665 Ashley Inlet Fake St.,fraud
10.30.42.133,fake_teresawalters@example.com,GA,Mozilla/5.0 (Windows NT 5.0; dz-BT; rv:1.9.2.20) Gecko/2020-05-26 14:29:23 Firefox/3.8,34358,(555)192 - 2565,2023-02-23T06:48:23Z,168 Daniel Pines Fake St.,fraud
186.229.68.220,fake_ryanmiller@example.net,ME,Mozilla/5.0 (Android 7.1; Mobile; rv:66.0) Gecko/66.0 Firefox/66.0,33280,(555)626 - 9787,2022-04-27T03:55:43Z,3453 Shelby Prairie Fake St.,fraud
198.117.66.16,fake_williamssandra@example.org,KY,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/40.0.832.0 Mobile/75R936 Safari/534.1",33873,(555)876 - 6330,2022-10-26T15:12:53Z,61011 Kevin Landing Fake St.,fraud
58.183.165.68,fake_doughertymark@example.org,GA,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/9.9d6706.0 Mobile/57K764 Safari/531.2",32869,(555)794 - 2942,2022-09-10T00:41:32Z,873 Jeanette Mountains Fake St.,fraud
31.210.118.59,fake_andrea21@example.com,DC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; as-IN) AppleWebKit/532.8.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.8.1",33897,(555)830 - 7828,2022-04-25T09:58:09Z,905 Pamela Landing Fake St.,fraud
93.110.113.210,fake_downskellie@example.net,GA,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/57.0.811.0 Safari/536.1",32662,(555)793 - 2759,2022-10-04T22:14:52Z,33278 Jeffrey View Fake St.,fraud
182.163.108.25,fake_nelsonkenneth@example.net,UT,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1),34132,(555)654 - 1856,2022-04-20T02:05:48Z,7173 Denise Road Fake St.,fraud
96.6.83.102,fake_brandyhernandez@example.com,WA,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_6 rv:6.0; ps-AF) AppleWebKit/532.5.3 (KHTML, like Gecko) Version/5.0 Safari/532.5.3",32935,(555)997 - 1670,2022-07-20T13:31:55Z,24846 Jesse Knoll Fake St.,fraud
196.83.95.62,fake_qspencer@example.net,MD,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/13.0.852.0 Safari/532.0",33455,(555)928 - 2272,2022-03-23T13:31:05Z,80698 Erica Parkways Fake St.,fraud
2.143.181.54,fake_ulogan@example.org,MA,Opera/9.13.(Windows 95; so-KE) Presto/2.9.180 Version/11.00,32655,(555)285 - 4630,2022-09-04T16:39:48Z,41659 Bennett Route Fake St.,fraud
57.150.152.107,fake_christophergonzalez@example.net,AR,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.1),33169,(555)839 - 8145,2022-03-09T21:04:27Z,212 Choi Green Fake St.,fraud
33.196.147.121,fake_hsmith@example.net,IA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_3 rv:2.0; te-IN) AppleWebKit/532.43.2 (KHTML, like Gecko) Version/4.0.2 Safari/532.43.2",32874,(555)211 - 8709,2022-06-07T15:53:27Z,81028 Brown Skyway Fake St.,fraud
82.235.11.232,fake_fgordon@example.org,MD,Opera/8.83.(X11; Linux i686; ml-IN) Presto/2.9.178 Version/12.00,34969,(555)236 - 3471,2022-05-30T13:33:58Z,2598 Patterson Glen Fake St.,fraud
65.252.13.251,fake_jmartinez@example.org,KS,Opera/8.96.(X11; Linux i686; se-NO) Presto/2.9.179 Version/10.00,34073,(555)726 - 5157,2022-04-20T13:41:52Z,571 Lisa Drives Fake St.,fraud
52.114.52.45,fake_mdavis@example.net,KY,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/534.44.3 (KHTML, like Gecko) Version/5.0.3 Safari/534.44.3",34422,(555)167 - 1240,2022-10-20T21:40:32Z,48174 Fisher Common Fake St.,fraud
138.192.127.55,fake_wallmichael@example.org,AR,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/37.0.827.0 Safari/535.2",32519,(555)115 - 6967,2022-05-07T09:25:01Z,00025 Owens View Fake St.,fraud
179.125.134.205,fake_kellyrussell@example.net,KY,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/54.0.800.0 Safari/532.1",33162,(555)515 - 2940,2022-07-11T16:20:21Z,1632 Nielsen Extensions Fake St.,fraud
39.71.214.252,fake_katherinejones@example.net,MA,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_0 rv:3.0; cmn-TW) AppleWebKit/534.31.3 (KHTML, like Gecko) Version/5.1 Safari/534.31.3",34625,(555)494 - 7857,2022-12-21T20:33:27Z,7626 Isaac Streets Fake St.,fraud
124.184.91.147,fake_jeremiahlin@example.org,KY,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.44.3 (KHTML, like Gecko) Version/4.0.3 Safari/532.44.3",33357,(555)289 - 6464,2022-03-29T01:00:56Z,61593 Mitchell Way Fake St.,fraud
214.65.2.109,fake_burnssonya@example.net,KS,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/37.0.810.0 Safari/532.2",34482,(555)276 - 5020,2022-10-01T05:14:10Z,33007 Angela Plains Fake St.,fraud
153.64.145.247,fake_joshua95@example.net,NY,"Mozilla/5.0 (Linux; Android 3.2.1) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/52.0.891.0 Safari/534.2",32189,(555)638 - 7801,2022-11-13T11:25:16Z,4399 Kevin Inlet Fake St.,fraud
187.112.148.228,fake_elizabeth45@example.org,KS,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_5) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/20.0.863.0 Safari/532.2",34711,(555)583 - 2221,2023-02-03T11:56:53Z,18188 Byrd Run Fake St.,fraud
83.24.21.94,fake_jason42@example.org,UT,Mozilla/5.0 (Android 4.4.3; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0,34735,(555)229 - 2527,2022-07-31T15:31:44Z,696 Robin Oval Fake St.,fraud
59.205.225.247,fake_pmcguire@example.com,NY,Opera/9.53.(Windows NT 4.0; cs-CZ) Presto/2.9.182 Version/10.00,33879,(555)559 - 1175,2023-01-26T21:48:31Z,82217 Yang Circle Fake St.,fraud
13.145.78.23,fake_mannmarcus@example.com,SC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; eu-ES) AppleWebKit/534.15.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6534.15.2",34345,(555)522 - 7707,2022-08-26T13:12:11Z,7700 Perez Crescent Fake St.,fraud
166.0.229.184,fake_billyortiz@example.net,MD,Opera/9.53.(Windows NT 6.0; ne-NP) Presto/2.9.160 Version/10.00,32049,(555)801 - 1146,2023-03-02T13:51:33Z,5175 Wood Stream Fake St.,fraud
130.173.98.11,fake_jessicamarquez@example.net,MD,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_2 rv:6.0; ky-KG) AppleWebKit/531.42.5 (KHTML, like Gecko) Version/4.0.1 Safari/531.42.5",34925,(555)639 - 4429,2022-09-03T02:33:22Z,261 Melissa Circle Fake St.,fraud
24.31.174.58,fake_lnguyen@example.net,GA,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/40.0.837.0 Safari/531.0",32122,(555)807 - 8625,2022-05-18T15:35:23Z,888 Kaitlyn Key Fake St.,fraud
26.162.80.39,fake_pclark@example.org,ME,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.1),34540,(555)783 - 1447,2022-08-11T19:19:12Z,1896 Mitchell Mission Fake St.,fraud
61.50.69.47,fake_sflores@example.net,AR,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/534.46.6 (KHTML, like Gecko) Version/5.0 Safari/534.46.6",33177,(555)651 - 5806,2023-01-20T16:56:21Z,952 Patricia Route Fake St.,fraud
33.210.35.110,fake_myoung@example.net,IA,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/535.7.6 (KHTML, like Gecko) Version/5.1 Safari/535.7.6",34597,(555)948 - 2193,2022-12-30T15:15:26Z,518 Schultz Pines Fake St.,fraud
168.194.158.74,fake_lisa99@example.net,MA,Mozilla/5.0 (Android 2.0.1; Mobile; rv:60.0) Gecko/60.0 Firefox/60.0,32318,(555)263 - 3121,2022-04-06T01:18:30Z,6678 Garcia Circle Fake St.,fraud
180.24.184.215,fake_michelleglass@example.com,AK,Opera/9.75.(Windows CE; ks-IN) Presto/2.9.184 Version/11.00,34657,(555)992 - 6188,2022-11-04T00:22:07Z,46169 Nicole Locks Fake St.,fraud
138.188.16.151,fake_nicholasward@example.com,NJ,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.24.6 (KHTML, like Gecko) Version/4.0 Safari/534.24.6",34790,(555)597 - 8148,2023-02-26T05:53:22Z,8887 Wayne Summit Fake St.,fraud
166.81.37.40,fake_martinezandrew@example.com,NY,Opera/8.30.(Windows NT 5.0; lzh-TW) Presto/2.9.189 Version/11.00,32421,(555)114 - 6392,2022-10-03T08:31:47Z,190 Copeland River Fake St.,fraud
39.246.105.118,fake_brianhoward@example.org,GA,Mozilla/5.0 (Windows NT 5.01; niu-NU; rv:1.9.0.20) Gecko/2013-10-22 06:39:34 Firefox/3.8,34889,(555)591 - 8252,2022-12-24T02:16:32Z,2989 Hannah Bridge Fake St.,fraud
54.168.214.190,fake_browncrystal@example.org,MD,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_6; rv:1.9.5.20) Gecko/2010-11-15 09:30:18 Firefox/3.8,34450,(555)813 - 9782,2023-02-17T12:58:20Z,41208 Lowe Rapids Fake St.,fraud
133.166.187.97,fake_garciathomas@example.org,AZ,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/10.3e4004.0 Mobile/99A838 Safari/532.0",32926,(555)155 - 6972,2023-02-01T10:03:19Z,22821 Reynolds Roads Fake St.,fraud
160.244.246.127,fake_grossmichele@example.net,AZ,Mozilla/5.0 (Windows NT 6.0; dv-MV; rv:1.9.0.20) Gecko/2018-05-31 01:19:16 Firefox/3.8,34872,(555)691 - 6155,2022-06-17T21:48:36Z,026 Rebecca Parks Fake St.,fraud
134.233.233.56,fake_aoneal@example.com,IA,Opera/9.63.(Windows CE; as-IN) Presto/2.9.166 Version/11.00,33980,(555)464 - 9795,2022-08-07T15:53:57Z,8073 Burch Lakes Fake St.,fraud
189.159.205.200,fake_kruegeraaron@example.com,GA,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.0),34532,(555)900 - 5816,2023-01-04T14:46:25Z,5395 Johnson Drive Fake St.,fraud
171.167.50.77,fake_qrhodes@example.net,AZ,Opera/9.30.(Windows NT 5.01; mr-IN) Presto/2.9.163 Version/11.00,34359,(555)178 - 1649,2023-01-22T15:52:08Z,3128 Willis Brooks Fake St.,fraud
108.10.149.234,fake_josephclark@example.com,KS,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/19.0.879.0 Safari/531.2",32714,(555)536 - 5607,2022-08-10T16:02:20Z,3551 Samuel Shoal Fake St.,fraud
192.234.137.8,fake_jesusbennett@example.net,UT,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; csb-PL) AppleWebKit/531.28.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6531.28.3",33822,(555)665 - 8979,2023-01-03T09:50:46Z,665 Steven Pass Fake St.,fraud
14.239.210.66,fake_sheila27@example.net,GA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/28.0.812.0 Safari/535.1",33432,(555)801 - 2692,2022-09-23T07:16:51Z,482 Adriana Track Fake St.,fraud
66.132.115.164,fake_gibsonmichele@example.net,UT,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/533.32.7 (KHTML, like Gecko) Version/5.1 Safari/533.32.7",32049,(555)268 - 6318,2022-09-18T14:36:44Z,063 Christopher Mews Fake St.,fraud
189.159.205.200,fake_tayloramber@example.net,IA,Opera/8.98.(Windows 98; Win 9x 4.90; tt-RU) Presto/2.9.188 Version/12.00,34874,(555)533 - 7720,2023-02-27T17:45:25Z,570 Darlene Squares Fake St.,fraud
175.182.233.159,fake_bryangary@example.net,UT,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/23.0.847.0 Safari/531.2",33256,(555)324 - 7418,2022-06-07T16:08:59Z,20538 John Corners Fake St.,fraud
32.225.87.21,fake_patriciaflores@example.org,GA,Mozilla/5.0 (Android 2.3.1; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,34164,(555)401 - 2078,2022-04-20T07:05:59Z,9052 Price Causeway Fake St.,fraud
174.103.206.187,fake_baueranthony@example.org,WA,Opera/8.96.(Windows NT 6.1; sv-SE) Presto/2.9.179 Version/11.00,34821,(555)993 - 9184,2022-09-09T15:55:16Z,65278 Hogan Ferry Fake St.,fraud
197.216.234.67,fake_teresa90@example.org,GA,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/60.0.837.0 Safari/531.0",34951,(555)811 - 9073,2022-11-15T23:47:37Z,7317 Julie Burg Fake St.,fraud
113.66.41.180,fake_zwarren@example.net,KS,Mozilla/5.0 (Android 4.4.2; Mobile; rv:31.0) Gecko/31.0 Firefox/31.0,32391,(555)761 - 9576,2022-12-16T12:45:47Z,4513 Matthew Valleys Fake St.,fraud
137.111.148.29,fake_qwarner@example.net,KY,Opera/9.31.(X11; Linux i686; nl-AW) Presto/2.9.174 Version/10.00,33190,(555)988 - 3854,2022-12-11T23:25:18Z,4641 Charles Spur Fake St.,fraud
40.112.167.34,fake_rachel29@example.org,MD,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5 rv:2.0; mt-MT) AppleWebKit/532.41.7 (KHTML, like Gecko) Version/5.0.2 Safari/532.41.7",34533,(555)295 - 9031,2022-04-16T11:24:31Z,3552 Alexandria Orchard Fake St.,fraud
196.46.245.174,fake_carolyn15@example.com,AR,Opera/8.42.(Windows NT 4.0; shs-CA) Presto/2.9.186 Version/12.00,33329,(555)583 - 5837,2023-02-13T10:14:30Z,065 Martin Alley Fake St.,fraud
3.101.8.168,fake_lgardner@example.net,SC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; hsb-DE) AppleWebKit/531.7.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6531.7.5",32279,(555)218 - 5386,2023-03-01T01:12:13Z,7416 Hahn Ridges Fake St.,fraud
31.150.59.211,fake_kylie19@example.com,AR,Opera/9.94.(X11; Linux i686; hsb-DE) Presto/2.9.184 Version/10.00,32788,(555)894 - 4378,2022-11-13T04:49:24Z,7802 Barbara Wells Fake St.,fraud
182.91.7.151,fake_paul34@example.net,ME,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ce-RU) AppleWebKit/533.46.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6533.46.6",33483,(555)911 - 3403,2022-05-29T07:21:06Z,7915 Graves Island Fake St.,fraud
145.15.43.141,fake_bestlacey@example.com,GA,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_5; rv:1.9.3.20) Gecko/2011-01-09 08:09:49 Firefox/3.8,32252,(555)146 - 9889,2022-04-07T02:17:33Z,82421 Joseph Courts Fake St.,fraud
210.160.222.78,fake_reneerobles@example.net,NY,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_7 rv:5.0; sw-KE) AppleWebKit/534.34.2 (KHTML, like Gecko) Version/5.1 Safari/534.34.2",32548,(555)853 - 4276,2022-06-01T18:22:23Z,4014 Sarah Creek Fake St.,fraud
215.219.206.21,fake_jasonbaker@example.net,UT,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/41.0.895.0 Mobile/90C895 Safari/536.1",34574,(555)549 - 8625,2022-12-06T18:11:51Z,7865 Hester Viaduct Fake St.,fraud
102.55.101.27,fake_patrickpeterson@example.org,ME,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/49.0.891.0 Safari/533.1",33369,(555)656 - 8718,2023-02-13T19:45:11Z,01614 Curtis Prairie Fake St.,fraud
13.47.190.116,fake_colleengonzalez@example.org,SC,Mozilla/5.0 (Windows CE; sv-SE; rv:1.9.1.20) Gecko/2010-04-07 17:56:53 Firefox/3.6.8,34069,(555)519 - 6852,2022-03-20T20:53:22Z,8518 Johnson Ford Fake St.,fraud
179.34.45.239,fake_esmith@example.net,AR,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/531.22.2 (KHTML, like Gecko) Version/4.1 Safari/531.22.2",34016,(555)431 - 5188,2023-02-17T17:22:52Z,5695 Miranda Neck Fake St.,fraud
119.71.224.33,fake_christopher27@example.com,KS,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.0),32484,(555)245 - 7089,2022-11-07T22:27:00Z,53988 Huerta Skyway Fake St.,fraud
124.164.65.99,fake_amy67@example.com,UT,Opera/9.52.(X11; Linux x86_64; sr-RS) Presto/2.9.163 Version/10.00,32779,(555)682 - 6496,2022-03-17T07:14:44Z,02045 Gross Street Fake St.,fraud
10.30.42.133,fake_fordmichael@example.org,AR,Mozilla/5.0 (Windows 98; Win 9x 4.90; wo-SN; rv:1.9.2.20) Gecko/2012-04-14 20:54:57 Firefox/3.6.9,32968,(555)126 - 9635,2022-10-12T11:15:33Z,97929 Brown Fall Fake St.,fraud
39.71.214.252,fake_patrickbates@example.net,ME,Mozilla/5.0 (Android 3.2.3; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,33084,(555)100 - 2108,2023-03-05T19:37:02Z,014 Phelps Freeway Fake St.,fraud
101.16.203.246,fake_davisthomas@example.net,ME,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_8 rv:3.0; li-NL) AppleWebKit/535.43.4 (KHTML, like Gecko) Version/4.0 Safari/535.43.4",32972,(555)422 - 3867,2022-03-16T13:57:04Z,577 Amy Rest Fake St.,fraud
10.73.223.31,fake_mruiz@example.org,ME,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/62.0.844.0 Safari/534.0",34595,(555)195 - 1813,2022-08-10T09:28:44Z,5301 Jackson Walks Fake St.,fraud
72.202.47.195,fake_blake62@example.net,AZ,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/3.1),32984,(555)512 - 3515,2022-12-03T03:34:35Z,965 Shannon Gateway Fake St.,fraud
161.158.199.119,fake_randall03@example.com,AR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0 rv:2.0; br-FR) AppleWebKit/532.18.2 (KHTML, like Gecko) Version/4.0.5 Safari/532.18.2",32092,(555)192 - 9316,2022-05-21T21:35:07Z,764 Torres Street Fake St.,fraud
91.151.56.51,fake_davidmccoy@example.com,AR,Opera/9.16.(X11; Linux x86_64; is-IS) Presto/2.9.189 Version/10.00,32801,(555)638 - 7801,2022-03-25T08:20:36Z,97957 Mark Stream Fake St.,fraud
175.182.233.159,fake_dana65@example.org,UT,Mozilla/5.0 (Windows NT 6.0; dv-MV; rv:1.9.0.20) Gecko/2018-05-31 01:19:16 Firefox/3.8,32650,(555)735 - 6232,2022-04-21T11:05:08Z,2107 Joseph Mountains Fake St.,fraud
215.157.155.194,fake_vwright@example.net,ME,Opera/8.36.(Windows 98; unm-US) Presto/2.9.178 Version/12.00,33049,(555)219 - 5058,2023-02-28T18:44:43Z,571 Russell Ports Fake St.,fraud
136.125.72.91,fake_melissadudley@example.com,PA,Opera/9.63.(Windows 98; hak-TW) Presto/2.9.160 Version/12.00,32168,(555)724 - 5497,2022-04-19T23:04:26Z,5601 Eric Road Fake St.,
4.14.185.227,fake_marybuchanan@example.com,NM,"Mozilla/5.0 (Linux; Android 6.0.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/40.0.851.0 Safari/531.1",32183,(555)501 - 1353,2023-01-16T04:06:48Z,654 Jones Valley Fake St.,
