first_name,last_name,date_of_birth,incident_severity,num_vehicles_involved,num_injuries,num_witnesses,police_report_available,injury_claim,vehicle_claim,incident_hour,customer_age,policy_deductable,policy_annual_premium,num_claims_past_year,EVENT_LABEL,EVENT_TIMESTAMP,EVENT_ID,ENTITY_TYPE,ENTITY_ID,policy_id,incident_type,LABEL_TIMESTAMP
Reginald,Garrett,2008-09-25,3.0,2.0,5.0,2.0,0.0,5373.0,3181.0,9.0,42.0,502.0,2883.0,5.0,fraud,2023-01-13T08:48:20Z,cb7319ad-3375-40b3-b368-e1ab8050e528,customer,a905-86258253,cb7319ad-3375-40b3-b368-e1ab8050e528,theft,2023-03-06T15:05:50Z
Mariah,Richard,1939-12-17,6.0,2.0,6.0,3.0,0.0,9125.0,3830.0,12.0,45.0,241.0,2901.0,1.0,fraud,2022-09-19T19:52:34Z,4f2b4963-10ef-430f-b340-7c355c3f60e7,customer,b004-51479775,4f2b4963-10ef-430f-b340-7c355c3f60e7,theft,2023-03-06T15:05:50Z
Kurt,Riggs,2019-07-07,4.0,2.0,4.0,2.0,0.0,6519.0,3628.0,9.0,47.0,480.0,2797.0,6.0,fraud,2023-02-22T14:35:27Z,f5a9210c-5670-4f8b-b4c0-ded68dc1ff9d,customer,c860-43583294,f5a9210c-5670-4f8b-b4c0-ded68dc1ff9d,theft,2023-03-06T15:05:50Z
Andrea,Jacobson,1913-10-11,6.0,1.0,5.0,3.0,0.0,8495.0,3867.0,13.0,39.0,313.0,3472.0,2.0,fraud,2023-02-24T00:59:05Z,f4c314cd-cf9d-44ac-86e3-0b52ebad9c11,customer,a872-35237608,f4c314cd-cf9d-44ac-86e3-0b52ebad9c11,collision,2023-03-06T15:05:50Z
Kendra,Alvarado,1916-10-06,8.0,2.0,6.0,3.0,0.0,10227.0,2818.0,11.0,51.0,484.0,2001.0,5.0,fraud,2022-12-17T11:45:18Z,f0c2d0e8-8f09-40b2-9e91-288f6521ae99,customer,b503-70188576,f0c2d0e8-8f09-40b2-9e91-288f6521ae99,theft,2023-03-06T15:05:50Z
Kara,Hutchinson,1974-12-28,6.0,2.0,6.0,3.0,0.0,6154.0,3944.0,14.0,51.0,252.0,2961.0,2.0,fraud,2022-03-07T20:29:04Z,9810a48e-d0e5-4249-a0f7-1c2822d294ea,customer,c607-72698717,9810a48e-d0e5-4249-a0f7-1c2822d294ea,breakin,2023-03-06T15:05:50Z
Judith,Zavala,2019-03-11,7.0,2.0,7.0,3.0,0.0,7686.0,5430.0,13.0,43.0,462.0,3220.0,3.0,fraud,2022-04-14T15:10:44Z,66bc81ed-9406-4a66-bdab-d43b0b4f7bf8,customer,d568-30766278,66bc81ed-9406-4a66-bdab-d43b0b4f7bf8,theft,2023-03-06T15:05:50Z
Vanessa,Fry,1976-12-12,6.0,2.0,5.0,3.0,0.0,9768.0,2328.0,16.0,54.0,132.0,2921.0,3.0,fraud,2022-09-15T07:09:22Z,522da069-1e1b-400f-b2f6-f37d9e9d66e0,customer,b253-76581200,522da069-1e1b-400f-b2f6-f37d9e9d66e0,breakin,2023-03-06T15:05:50Z
Kurt,Cuevas,1997-02-03,5.0,2.0,5.0,2.0,0.0,4548.0,5258.0,10.0,34.0,544.0,2701.0,5.0,fraud,2022-07-21T13:17:36Z,08950c8a-4952-49ee-84bd-45f9b5da2b6c,customer,a015-44450217,08950c8a-4952-49ee-84bd-45f9b5da2b6c,breakin,2023-03-06T15:05:50Z
April,Harding,1942-04-20,7.0,2.0,6.0,3.0,0.0,8892.0,3171.0,11.0,53.0,414.0,1594.0,3.0,fraud,2022-11-10T15:41:37Z,dde27bd2-bc54-43df-aeb7-2d67970a7673,customer,c458-88853952,dde27bd2-bc54-43df-aeb7-2d67970a7673,theft,2023-03-06T15:05:50Z
Vernon,Cuevas,1993-11-30,7.0,2.0,4.0,3.0,0.0,6422.0,2797.0,13.0,37.0,248.0,2936.0,3.0,fraud,2023-02-23T23:47:59Z,30a82542-6fb2-47bc-91ad-831d4fc49678,customer,b549-02878700,30a82542-6fb2-47bc-91ad-831d4fc49678,breakin,2023-03-06T15:05:50Z
Kevin,George,2005-06-30,8.0,2.0,7.0,3.0,0.0,7834.0,3019.0,13.0,49.0,409.0,3081.0,4.0,fraud,2022-03-24T03:37:12Z,eff498d0-8e6a-4c20-b0b2-d693b2e46429,customer,d992-08069922,eff498d0-8e6a-4c20-b0b2-d693b2e46429,theft,2023-03-06T15:05:50Z
Gina,Dalton,1971-02-03,4.0,2.0,4.0,2.0,0.0,7224.0,3856.0,9.0,39.0,652.0,2202.0,6.0,fraud,2022-06-10T23:24:22Z,69758df2-3640-4560-a6a6-d4327f4eefe5,customer,b083-04319499,69758df2-3640-4560-a6a6-d4327f4eefe5,collision,2023-03-06T15:05:50Z
Dennis,Pena,1944-01-25,4.0,2.0,5.0,2.0,0.0,6397.0,2602.0,11.0,43.0,529.0,3346.0,3.0,fraud,2023-01-02T22:18:38Z,8fee237f-593d-4185-804c-797f13a41608,customer,a949-40341031,8fee237f-593d-4185-804c-797f13a41608,theft,2023-03-06T15:05:50Z
Joe,Gibbs,1906-07-29,7.0,2.0,5.0,2.0,0.0,7736.0,2380.0,12.0,40.0,359.0,2853.0,4.0,fraud,2022-10-29T05:54:05Z,2560ad1b-17f7-429c-a885-b53571b275c2,customer,c068-82980800,2560ad1b-17f7-429c-a885-b53571b275c2,collision,2023-03-06T15:05:50Z
Christine,Flynn,2000-11-22,6.0,3.0,8.0,3.0,0.0,6941.0,6163.0,13.0,46.0,563.0,2570.0,3.0,fraud,2022-07-25T14:32:38Z,f82d261a-2c92-449c-9a14-075642d92405,customer,a514-21148071,f82d261a-2c92-449c-9a14-075642d92405,collision,2023-03-06T15:05:50Z
Brittany,Barnes,1937-05-11,7.0,2.0,7.0,3.0,0.0,7703.0,5277.0,21.0,48.0,326.0,3271.0,3.0,fraud,2023-02-01T20:05:29Z,3fd016f1-f590-474d-9c0e-090dba1ef82c,customer,c982-76742875,3fd016f1-f590-474d-9c0e-090dba1ef82c,theft,2023-03-06T15:05:50Z
Christie,Mccarthy,1911-10-07,4.0,2.0,3.0,1.0,0.0,9164.0,4457.0,9.0,42.0,488.0,2655.0,5.0,fraud,2022-11-26T04:32:03Z,519220c8-f95f-44f6-a7b9-84ca512f3095,customer,c697-49157977,519220c8-f95f-44f6-a7b9-84ca512f3095,collision,2023-03-06T15:05:50Z
Melvin,Ellis,2005-08-25,5.0,2.0,4.0,2.0,0.0,6385.0,2878.0,12.0,37.0,507.0,2888.0,5.0,fraud,2022-05-13T00:21:59Z,26026c25-c5f8-4de9-be60-14a5cf361207,customer,a834-65285670,26026c25-c5f8-4de9-be60-14a5cf361207,theft,2023-03-06T15:05:50Z
Maxwell,Haynes,1916-03-12,6.0,2.0,3.0,2.0,0.0,7651.0,5677.0,8.0,37.0,563.0,2865.0,5.0,fraud,2022-10-31T00:31:33Z,ae712599-ab35-4cb1-80bb-ddea3b02b1f5,customer,b964-82717313,ae712599-ab35-4cb1-80bb-ddea3b02b1f5,collision,2023-03-06T15:05:50Z
Nathaniel,Dickerson,1909-07-26,3.0,2.0,5.0,2.0,0.0,4480.0,3158.0,9.0,41.0,454.0,3143.0,5.0,fraud,2022-10-11T15:20:13Z,9b6882d4-c72a-4036-8f8b-20ad0ce1d059,customer,a462-13728889,9b6882d4-c72a-4036-8f8b-20ad0ce1d059,theft,2023-03-06T15:05:50Z
Gene,Richard,1912-10-18,5.0,2.0,3.0,2.0,0.0,6155.0,3636.0,9.0,46.0,646.0,2528.0,4.0,fraud,2022-06-07T09:00:58Z,7c860a6e-fe89-4234-a1c0-df02aa941edc,customer,c272-65362222,7c860a6e-fe89-4234-a1c0-df02aa941edc,breakin,2023-03-06T15:05:50Z
Samantha,Matthews,2007-05-13,5.0,2.0,4.0,2.0,0.0,6340.0,2498.0,10.0,39.0,554.0,2245.0,4.0,fraud,2023-01-14T22:40:31Z,5e409c30-801a-4128-9438-2c88431d6684,customer,b541-41273247,5e409c30-801a-4128-9438-2c88431d6684,theft,2023-03-06T15:05:50Z
Jerome,Curtis,1952-07-06,7.0,2.0,5.0,3.0,0.0,8052.0,2336.0,17.0,51.0,219.0,2627.0,4.0,fraud,2022-03-26T16:54:25Z,a709f673-2161-4d4a-8583-19ee8e36bb50,customer,d541-20668121,a709f673-2161-4d4a-8583-19ee8e36bb50,breakin,2023-03-06T15:05:50Z
Jaclyn,Floyd,1952-09-13,4.0,2.0,5.0,2.0,0.0,8053.0,4090.0,7.0,29.0,525.0,3216.0,5.0,fraud,2022-06-29T00:58:14Z,5cc0b60b-8f61-4024-9124-7a93c0628299,customer,a310-32736647,5cc0b60b-8f61-4024-9124-7a93c0628299,collision,2023-03-06T15:05:50Z
Brent,Schwartz,1957-11-09,4.0,2.0,4.0,2.0,0.0,6402.0,4082.0,10.0,33.0,503.0,3221.0,6.0,fraud,2022-04-10T06:14:05Z,bbb45efa-8474-4f49-8af8-a408beea62b7,customer,c113-31729959,bbb45efa-8474-4f49-8af8-a408beea62b7,collision,2023-03-06T15:05:50Z
Theresa,Logan,1987-02-07,6.0,2.0,7.0,3.0,0.0,7709.0,5135.0,9.0,47.0,554.0,2467.0,3.0,fraud,2022-07-06T18:12:06Z,efc58d67-0e12-41b1-a927-a9950fa6de4d,customer,c876-88237364,efc58d67-0e12-41b1-a927-a9950fa6de4d,breakin,2023-03-06T15:05:50Z
Kristina,Rocha,1916-06-30,6.0,2.0,5.0,3.0,0.0,8432.0,3379.0,16.0,36.0,279.0,3593.0,1.0,fraud,2022-12-13T00:36:43Z,75388135-b25b-4165-9b43-d01654b8d6da,customer,c695-09859136,75388135-b25b-4165-9b43-d01654b8d6da,collision,2023-03-06T15:05:50Z
Tanya,Rocha,2021-02-23,3.0,2.0,3.0,2.0,0.0,7047.0,3480.0,10.0,45.0,602.0,2745.0,6.0,fraud,2022-11-15T09:26:55Z,a33fd3af-2879-4182-97da-ab0b4470f4a5,customer,d796-79139717,a33fd3af-2879-4182-97da-ab0b4470f4a5,theft,2023-03-06T15:05:50Z
Raven,Houston,1940-02-28,7.0,2.0,6.0,3.0,0.0,6618.0,4731.0,12.0,44.0,552.0,2965.0,5.0,fraud,2022-05-04T08:30:11Z,6410a2f6-efc9-4cba-a34b-6a2acc659d15,customer,d695-92693966,6410a2f6-efc9-4cba-a34b-6a2acc659d15,theft,2023-03-06T15:05:50Z
Joanne,Roth,1919-10-12,8.0,2.0,6.0,2.0,0.0,7598.0,2923.0,11.0,40.0,433.0,2724.0,5.0,fraud,2022-11-12T03:26:08Z,81baeeb6-5255-4c51-88e8-f961edbee083,customer,a947-52473022,81baeeb6-5255-4c51-88e8-f961edbee083,collision,2023-03-06T15:05:50Z
Helen,Kaufman,2016-11-22,7.0,2.0,4.0,2.0,0.0,6136.0,1966.0,13.0,54.0,248.0,2594.0,3.0,fraud,2022-12-03T11:30:00Z,f3a2454b-213c-4de3-991b-6d4c97aaa48e,customer,a348-62663335,f3a2454b-213c-4de3-991b-6d4c97aaa48e,theft,2023-03-06T15:05:50Z
Harold,Collins,2015-01-22,4.0,2.0,3.0,2.0,0.0,8653.0,6233.0,7.0,44.0,524.0,1626.0,4.0,fraud,2022-03-13T07:39:42Z,58fea4c4-4a9b-4226-ba81-f5998a7f7fdc,customer,a697-72553176,58fea4c4-4a9b-4226-ba81-f5998a7f7fdc,breakin,2023-03-06T15:05:50Z
Drew,Logan,1974-02-05,4.0,1.0,4.0,1.0,0.0,11855.0,3963.0,10.0,36.0,557.0,3297.0,5.0,fraud,2022-04-23T09:49:03Z,4a6c289a-4827-40d6-a31a-3a760a95be17,customer,d402-98845230,4a6c289a-4827-40d6-a31a-3a760a95be17,breakin,2023-03-06T15:05:50Z
Samantha,Jarvis,1985-11-22,8.0,1.0,4.0,3.0,0.0,9980.0,1401.0,14.0,46.0,328.0,2033.0,4.0,fraud,2022-04-20T22:30:34Z,17efbbe2-dd01-4c84-bb5d-f831f21f4985,customer,b814-89135882,17efbbe2-dd01-4c84-bb5d-f831f21f4985,theft,2023-03-06T15:05:50Z
Sally,Kim,1965-04-09,5.0,1.0,4.0,3.0,0.0,10134.0,1352.0,11.0,41.0,183.0,3050.0,0.0,fraud,2022-06-30T00:35:47Z,bca47f53-5341-4be7-9256-bfdbc5d98a71,customer,d960-85637931,bca47f53-5341-4be7-9256-bfdbc5d98a71,theft,2023-03-06T15:05:50Z
Alyssa,Warner,2000-06-01,4.0,2.0,2.0,2.0,0.0,6954.0,4036.0,4.0,40.0,619.0,2254.0,4.0,fraud,2022-06-11T09:06:03Z,11d7c3c7-4e87-437d-ae3a-e81aa5f3af72,customer,a030-77903394,11d7c3c7-4e87-437d-ae3a-e81aa5f3af72,theft,2023-03-06T15:05:50Z
Cesar,Austin,1951-09-08,9.0,2.0,7.0,2.0,0.0,6638.0,4433.0,15.0,53.0,484.0,2668.0,7.0,fraud,2022-11-14T10:14:30Z,747081a8-6c35-4997-bad7-c66ef26995e9,customer,c432-44206273,747081a8-6c35-4997-bad7-c66ef26995e9,collision,2023-03-06T15:05:50Z
Mike,Ritter,1960-11-07,5.0,2.0,4.0,2.0,0.0,6922.0,1310.0,8.0,39.0,381.0,3407.0,5.0,fraud,2022-07-05T13:18:26Z,61b723ee-1c39-4e54-a179-6e1ae2a3aec6,customer,c492-73016431,61b723ee-1c39-4e54-a179-6e1ae2a3aec6,collision,2023-03-06T15:05:50Z
Francis,Calderon,1981-02-04,3.0,2.0,2.0,2.0,0.0,7374.0,2344.0,8.0,50.0,687.0,2856.0,3.0,fraud,2023-01-14T08:46:28Z,6eac6f26-ba2a-4bf8-9485-35711d784c4f,customer,a240-51471572,6eac6f26-ba2a-4bf8-9485-35711d784c4f,collision,2023-03-06T15:05:50Z
Theresa,Griffith,1987-02-14,5.0,2.0,5.0,2.0,0.0,9106.0,4965.0,11.0,36.0,601.0,2905.0,5.0,fraud,2022-08-20T10:20:13Z,ea4df751-1265-41e3-b860-61e51ebaf253,customer,c539-47980620,ea4df751-1265-41e3-b860-61e51ebaf253,collision,2023-03-06T15:05:50Z
Karla,Ortega,1909-10-07,5.0,2.0,2.0,1.0,0.0,9850.0,4882.0,5.0,41.0,621.0,2690.0,4.0,fraud,2022-04-23T21:26:42Z,89daf134-a798-40e1-809b-276a9260cb41,customer,c421-95942564,89daf134-a798-40e1-809b-276a9260cb41,collision,2023-03-06T15:05:50Z
Perry,Gallagher,1938-07-26,6.0,2.0,6.0,3.0,0.0,7455.0,4291.0,12.0,48.0,418.0,2452.0,3.0,fraud,2022-03-20T00:10:39Z,0e9ea50a-6bf9-4d9c-903c-448aee118c69,customer,b973-14893258,0e9ea50a-6bf9-4d9c-903c-448aee118c69,collision,2023-03-06T15:05:50Z
Jennifer,Vega,1997-07-27,7.0,2.0,6.0,3.0,0.0,7997.0,3323.0,14.0,54.0,384.0,2332.0,3.0,fraud,2022-10-06T04:33:41Z,a352fc19-2423-476a-af89-f3db9ad9998c,customer,b604-62495426,a352fc19-2423-476a-af89-f3db9ad9998c,breakin,2023-03-06T15:05:50Z
Clinton,Barker,1916-05-26,5.0,2.0,5.0,2.0,0.0,7222.0,5746.0,11.0,33.0,649.0,2946.0,5.0,fraud,2022-04-20T12:52:53Z,b69200f4-d711-482c-82de-f78200ebf066,customer,c296-57943775,b69200f4-d711-482c-82de-f78200ebf066,breakin,2023-03-06T15:05:50Z
Jodi,Miles,2019-03-04,6.0,2.0,6.0,2.0,0.0,6489.0,3877.0,10.0,46.0,429.0,2551.0,3.0,fraud,2022-09-27T09:39:47Z,514c8f6c-a5f4-4cc8-913f-563013f13354,customer,a345-24048462,514c8f6c-a5f4-4cc8-913f-563013f13354,breakin,2023-03-06T15:05:50Z
Lisa,Bullock,2000-11-22,6.0,1.0,6.0,3.0,0.0,8872.0,4320.0,19.0,56.0,305.0,2736.0,4.0,fraud,2022-12-29T12:18:09Z,ef5c1786-f4e3-4e8b-89ab-9d17ee1bd0c5,customer,a046-65240584,ef5c1786-f4e3-4e8b-89ab-9d17ee1bd0c5,theft,2023-03-06T15:05:50Z
Daniel,Esparza,1965-10-12,5.0,2.0,6.0,3.0,0.0,7270.0,4624.0,15.0,52.0,405.0,2770.0,3.0,fraud,2022-03-28T09:06:13Z,ddf3a874-6266-422a-b05d-ce8659913032,customer,d564-19013913,ddf3a874-6266-422a-b05d-ce8659913032,theft,2023-03-06T15:05:50Z
Lindsey,Knox,1956-05-13,5.0,2.0,3.0,2.0,0.0,9309.0,4385.0,7.0,38.0,585.0,2506.0,6.0,fraud,2022-12-21T14:49:40Z,782daca1-fb29-465c-8810-a2ed9ba5217d,customer,c537-97671294,782daca1-fb29-465c-8810-a2ed9ba5217d,collision,2023-03-06T15:05:50Z
Shelia,Wilcox,1966-09-05,6.0,2.0,7.0,3.0,0.0,7959.0,4178.0,14.0,46.0,320.0,3410.0,4.0,fraud,2022-03-13T21:39:53Z,dc76ee44-cffe-4ba6-95cb-d0cac5dfdd70,customer,a934-00242987,dc76ee44-cffe-4ba6-95cb-d0cac5dfdd70,theft,2023-03-06T15:05:50Z
Lindsay,Hurst,2003-12-09,6.0,1.0,5.0,2.0,0.0,9203.0,673.0,9.0,49.0,276.0,2894.0,2.0,fraud,2022-03-28T06:01:51Z,dae1985e-bc48-43a4-aa5f-87bdf9d17730,customer,b609-27606094,dae1985e-bc48-43a4-aa5f-87bdf9d17730,breakin,2023-03-06T15:05:50Z
Cassidy,Bauer,1957-11-05,7.0,2.0,6.0,3.0,0.0,8204.0,4180.0,12.0,35.0,456.0,2952.0,4.0,fraud,2023-02-01T20:08:07Z,f3d317fe-7ac4-44c7-9c50-39c0e4a83f7c,customer,a550-95683187,f3d317fe-7ac4-44c7-9c50-39c0e4a83f7c,theft,2023-03-06T15:05:50Z
Joe,Briggs,1995-09-14,4.0,2.0,3.0,1.0,0.0,6152.0,4458.0,5.0,38.0,463.0,2745.0,4.0,fraud,2022-10-13T17:28:24Z,a6a0558b-3fc0-43bc-91cf-9cbf073e40d7,customer,c919-99580604,a6a0558b-3fc0-43bc-91cf-9cbf073e40d7,theft,2023-03-06T15:05:50Z
Roberto,Chambers,2003-02-15,3.0,2.0,3.0,1.0,0.0,7394.0,2341.0,5.0,46.0,505.0,3186.0,5.0,fraud,2022-05-09T07:28:34Z,da1cfd78-ee22-4a17-9ad1-411a90563aeb,customer,d499-74086418,da1cfd78-ee22-4a17-9ad1-411a90563aeb,collision,2023-03-06T15:05:50Z
Luke,Murphy,1967-12-14,4.0,1.0,3.0,3.0,0.0,8389.0,2834.0,9.0,45.0,722.0,2652.0,4.0,fraud,2022-05-19T14:21:58Z,5dfedd47-f63f-4829-944e-c3df7e7833d5,customer,a629-10805533,5dfedd47-f63f-4829-944e-c3df7e7833d5,theft,2023-03-06T15:05:50Z
Brianna,Guerrero,1966-12-29,5.0,2.0,4.0,2.0,0.0,10479.0,2206.0,11.0,40.0,550.0,3160.0,4.0,fraud,2022-07-11T02:10:27Z,71a2aad6-ef49-43e5-af86-4233f26afd34,customer,b998-80095620,71a2aad6-ef49-43e5-af86-4233f26afd34,breakin,2023-03-06T15:05:50Z
Roberta,Kaufman,1910-09-21,5.0,2.0,4.0,2.0,0.0,4673.0,3676.0,6.0,35.0,666.0,3083.0,3.0,fraud,2022-06-07T14:13:01Z,35ac7727-13aa-48c4-a2fd-26fef3fa6db4,customer,d446-12956206,35ac7727-13aa-48c4-a2fd-26fef3fa6db4,collision,2023-03-06T15:05:50Z
Crystal,Bridges,2011-10-26,7.0,2.0,7.0,2.0,0.0,7150.0,4447.0,14.0,48.0,489.0,2922.0,5.0,fraud,2022-06-22T19:16:52Z,cecb073f-1344-48f5-99ec-94f351e4bc55,customer,c636-23239528,cecb073f-1344-48f5-99ec-94f351e4bc55,collision,2023-03-06T15:05:50Z
Lucas,Lane,1951-06-30,4.0,2.0,2.0,2.0,0.0,4576.0,3580.0,8.0,50.0,543.0,2271.0,3.0,fraud,2022-03-08T13:38:06Z,2e1b4c2f-57db-4b0a-abdd-c1787b9d9d5b,customer,d560-26421970,2e1b4c2f-57db-4b0a-abdd-c1787b9d9d5b,theft,2023-03-06T15:05:50Z
Garrett,Frye,1913-09-07,5.0,2.0,6.0,3.0,0.0,6760.0,3914.0,11.0,48.0,419.0,3078.0,4.0,fraud,2022-08-08T02:39:21Z,27796268-ad89-4ac2-9405-bbdd609b6bb3,customer,a587-48809727,27796268-ad89-4ac2-9405-bbdd609b6bb3,breakin,2023-03-06T15:05:50Z
Theresa,Hanna,2009-07-18,7.0,1.0,3.0,2.0,0.0,11510.0,5427.0,9.0,28.0,594.0,2846.0,5.0,fraud,2022-05-18T02:13:19Z,17317a61-6b92-4499-bb6a-efb8e1509bc3,customer,d880-51939293,17317a61-6b92-4499-bb6a-efb8e1509bc3,collision,2023-03-06T15:05:50Z
Terry,Stark,1961-03-21,6.0,2.0,6.0,2.0,0.0,8017.0,2219.0,13.0,50.0,236.0,3155.0,2.0,fraud,2023-02-18T09:12:44Z,4bb3b65c-f222-4910-8393-325745deaa49,customer,a755-54547467,4bb3b65c-f222-4910-8393-325745deaa49,breakin,2023-03-06T15:05:50Z
Dennis,Keller,2020-07-26,6.0,2.0,6.0,2.0,0.0,5833.0,3771.0,10.0,43.0,419.0,3335.0,3.0,fraud,2022-04-03T06:58:39Z,aac61c66-7bc2-42ee-ada6-8492ddb3e87a,customer,c928-45126803,aac61c66-7bc2-42ee-ada6-8492ddb3e87a,collision,2023-03-06T15:05:50Z
Franklin,Chavez,1948-11-08,4.0,2.0,4.0,1.0,0.0,7415.0,3382.0,8.0,38.0,447.0,3166.0,4.0,fraud,2022-09-28T07:17:27Z,47b49adb-9395-4e94-9e2b-d9c0a2bb4a4b,customer,d567-42914406,47b49adb-9395-4e94-9e2b-d9c0a2bb4a4b,breakin,2023-03-06T15:05:50Z
Grace,Summers,1933-05-10,6.0,2.0,5.0,3.0,0.0,9157.0,2594.0,11.0,48.0,317.0,2438.0,4.0,fraud,2022-09-14T22:48:26Z,757a2e2f-aed1-4c90-a7c3-760eaa2b098c,customer,c097-57504098,757a2e2f-aed1-4c90-a7c3-760eaa2b098c,theft,2023-03-06T15:05:50Z
Samantha,Harvey,2011-04-24,6.0,2.0,3.0,2.0,0.0,8856.0,4037.0,7.0,40.0,513.0,2664.0,6.0,fraud,2022-12-05T19:16:50Z,ca82157b-0751-4b38-8fd0-d704db2ff366,customer,b879-46956648,ca82157b-0751-4b38-8fd0-d704db2ff366,collision,2023-03-06T15:05:50Z
